city,lng,lat,count
北京,116.4133836971231,39.910924547299565,840
成都,104.08153351042463,30.655821878416408,291
重庆,106.55843415537664,29.568996245338923,261
昆明,102.85244836500482,24.873998150044006,238
潍坊,119.16837791142822,36.71265155126753,214
济南,117.12639941261048,36.65655420178723,212
天津,117.21081309155257,39.143929903310074,211
西安,125.15537330312809,42.933308420624584,193
乌鲁木齐,87.62443993536046,43.830763204290484,187
淄博,118.06145253489896,36.81908568332188,175
郑州,113.63141920733915,34.75343885045448,174
兰州,103.84052119633628,36.067234693545565,170
广州,113.27143134445974,23.135336306695006,151
哈尔滨,126.54161509031663,45.808825827952184,149
太原,112.55639149167204,37.87698902884778,148
青岛,120.38945519114627,36.072227496663224,143
长沙,112.94547319535287,28.23488939994364,134
南宁,108.37345082581861,22.822606601187154,123
贵阳,106.63657676352776,26.653324822309752,114
石家庄,114.52153190157445,38.0483119268727,113
合肥,117.23344266497664,31.826577833686887,107
泰安,117.0944948347959,36.2058580448846,103
南昌,115.86458944231661,28.68945529506072,95
杭州,120.21551180372168,30.25308298169347,81
呼和浩特,111.75550856170946,40.84842299711348,77
东营,118.58846268606544,37.45484732016579,75
临沂,118.36353300501388,35.11067124236514,73
武汉,114.31158155473231,30.598466736400987,73
长春,125.3306020759069,43.82195350104314,67
大连,121.62163148459285,38.9189536667856,66
包头,109.84654350721243,40.66292878826139,64
拉萨,91.12082391546393,29.65004027476773,63
信阳,114.09748283304512,32.15301454753105,59
沈阳,123.4559899308919,41.720915668888956,57
赤峰,118.8955203975195,42.2616861034116,56
衡水,115.6754061376161,37.745191408077424,55
威海,122.12754097831325,37.5164305480148,54
德州,116.36555674397471,37.441308454576266,54
曲阜,116.99341597169382,35.587372286487756,53
上海,121.48053886017651,31.235929042252014,52
银川,106.23849358740017,38.492460055509596,48
阜阳,115.82043612491321,32.89606099485221,48
驻马店,114.02847078173271,33.01784241674367,48
宜昌,111.29254921035434,30.697446484492378,47
厦门,118.09643549976651,24.485406605176305,47
福州,119.30346983854001,26.080429420698078,46
南京,118.80242172124585,32.06465288561847,45
菏泽,115.48754503343376,35.23940742476551,44
南阳,112.53450131351325,32.99656220465144,44
西宁,101.78445017050855,36.62338469651661,42
邯郸,114.5456282282352,36.631262731204046,41
日照,119.53341540456555,35.42283899843767,41
赣州,114.9405033729825,25.835176103497655,41
聊城,115.99158784830443,36.46275818769411,40
九江,116.00753491163063,29.711340559079343,40
邢台,114.51146225612979,37.07668595096609,39
张家口,114.89257223145165,40.7732372026915,39
柳州,109.43442194634564,24.331961386852413,39
荆州,112.19641397381135,30.358989490775382,38
枣庄,117.33054194483897,34.815994048435115,38
保定,115.47146383768579,38.87998776845534,37
唐山,118.18645947203979,39.63658372414733,37
安庆,117.06360390491879,30.53095656804304,36
天水,105.73141674566955,34.58741188165064,36
晋城,112.85857823132879,35.49628458647257,36
绵阳,104.6855618607612,31.473663048745863,36
